Attendance,AVGCapcity,Month,Year,Gross,Performances,Type,Theatre
116582,97.35714286,2.071428571,2010,10935941,81,Play,Cort
93476,75.13333333,4.8,1997,2712516,89,Play,Cort
82769,55.58823529,3.294117647,2006,4501355,109,Play,Cort
2570,34,11,2003,100389,0,Play,Cort
58288,53.69230769,5,2011,2792677,73,Play,Cort
37872,64.28571429,3.428571429,2013,2475937,38,Play,Cort
110215,101.3076923,5.461538462,2010,12908907,88,Play,Cort
218241,98.96153846,4.692307692,2015,27652896,173,Play,Cort
158015,87.54166667,4,1998,5283095,144,Play,Cort
85684,62.05882353,10.11764706,2012.058824,6479055,108,Play,Cort
47006,42.15384615,10.38461538,2002.076923,2043835,76,Play,Cort
36852,43.4,8.2,2001,1361049,53,Play,Cort
39329,47.08333333,10.25,2004.083333,1828501,66,Play,Cort
160950,85.52173913,6.130434783,2013.565217,14346510,145,Play,Cort
54757,45.92857143,4.857142857,2005,2947551,93,Play,Cort
46200,52.63636364,5.363636364,2007,1825735,64,Play,Cort
65593,83.3,10,1996,1474936,46,Play,Cort
80312,63.73333333,5.533333333,2011.6,4262543,93,Play,Cort
75926,67.07142857,10.28571429,2015.071429,4453376,79,Play,Cort
162967,71.91666667,8.277777778,2008.027778,8758456,277,Play,Cort
101355,99.5,5.142857143,1998.642857,4589721,81,Play,Cort
94219,78.06666667,5.533333333,2014,7845617,105,Play,Cort
11208,28.2,4.4,2001,360983,24,Play,Cort
75092,45.73684211,4.368421053,2007.789474,4267706,137,Play,Cort
68122,46.94117647,7.294117647,2006.411765,3345956,112,Play,Cort
57421,52.76923077,5.153846154,2012,2509091,80,Play,Cort
112415,66.6,9.8,2014.05,7229324,133,Play,Cort
97638,64.47368421,8.210526316,2010.263158,7053123,126,Play,Cort
44188,70.5,6.666666667,2016,3495760,75,Play,Booth
49960,70.54545455,5.181818182,1994,1393461,73,Play,Booth
74286,83.33333333,9.733333333,2006.133333,5424237,94,Play,Booth
203582,79.16666667,6.095238095,1999.642857,9815693,297,Play,Booth
54593,55.71428571,3.952380952,1997,1931156,126,Play,Booth
51037,81,10.36363636,2008.090909,2796827,50,Play,Booth
99297,93.64705882,6.058823529,2006,7583448,117,Play,Booth
173143,66.93023256,7.488372093,2015.023256,12134434,311,Play,Booth
155631,67.08108108,7.216216216,1995,4589010,277,Play,Booth
18112,64.4,3.8,2011,449955,7,Play,Booth
31993,75.57142857,2.571428571,2016,2023264,37,Play,Booth
69337,100.2307692,5.076923077,2013,9561477,71,Play,Booth
21365,39.55555556,7.888888889,2002,793377,53,Play,Booth
32876,67.45454545,10.36363636,1998.090909,1228086,51,Play,Booth
106652,57.04878049,7.658536585,1996.02439,3856374,234,Play,Booth
